"app_id","app_name","line","onprem_qvd","status","cloud_target","note"
"c181957a-a6c8-4ad2-b10c-28eacb96089e","Community Profile Nprint(3)","1449","[lib://AppData/PROD/AzureDataLake/AURION/NIAA Site Locations.qvd]","retargeted","[lib://Curated Data Store:DataFiles/10 Landing Area/AURION/NIAA Site Locations.qvd]",""
"c181957a-a6c8-4ad2-b10c-28eacb96089e","Community Profile Nprint(3)","1469","// FROM [lib://AppDataProd/AzureDataLake/NIAA/NIAA Site 2023.qvd]","commented","",""
"c181957a-a6c8-4ad2-b10c-28eacb96089e","Community Profile Nprint(3)","1504","// FROM [lib://AppDataProd/AzureDataLake/AURION/Site Location.qvd]","commented","",""
"c181957a-a6c8-4ad2-b10c-28eacb96089e","Community Profile Nprint(3)","2025","[lib://AppDataProd/AzureDataLake/IAM/NIAA Staff.QVD]","retargeted","[lib://Curated Data Store:DataFiles/10 Landing Area/IAM/NIAA Staff.qvd]",""
"c181957a-a6c8-4ad2-b10c-28eacb96089e","Community Profile Nprint(3)","2061","[lib://AppDataProd/AzureDataLake/AURION/Organisation Staff.qvd]","retargeted","[lib://Curated Data Store:DataFiles/10 Landing Area/AURION/Organisation Staff.qvd]",""
"c181957a-a6c8-4ad2-b10c-28eacb96089e","Community Profile Nprint(3)","2271","[lib://AppDataProd/AzureDataLake/NIAA/Fleet Detail.qvd]","not-in-map","",""
"c181957a-a6c8-4ad2-b10c-28eacb96089e","Community Profile Nprint(3)","2334","[lib://AppDataProd/AzureDataLake/NIAA/Fleet.qvd]","not-in-map","",""
"c181957a-a6c8-4ad2-b10c-28eacb96089e","Community Profile Nprint(3)","2357","[lib://AppDataProd/AzureDataLake/NIAA/Fleet Detail.qvd]","not-in-map","",""
"c181957a-a6c8-4ad2-b10c-28eacb96089e","Community Profile Nprint(3)","2378","[lib://AppDataProd/Geospatial/CED 2021.qvd]","geospatial","",""
"c181957a-a6c8-4ad2-b10c-28eacb96089e","Community Profile Nprint(3)","2389","[lib://AppDataProd/Geospatial/MB 2021 - CED 2021.qvd]","geospatial","",""
"c181957a-a6c8-4ad2-b10c-28eacb96089e","Community Profile Nprint(3)","2400","[lib://AppDataProd/Geospatial/MB 2021 - NNTT.qvd]","geospatial","",""
"c181957a-a6c8-4ad2-b10c-28eacb96089e","Community Profile Nprint(3)","2407","[lib://AppDataProd/Geospatial/NTD - NTDA.qvd]","geospatial","",""
"c181957a-a6c8-4ad2-b10c-28eacb96089e","Community Profile Nprint(3)","2447","[lib://AppDataProd/Geospatial/Native Title Determination.qvd]","geospatial","",""
"c181957a-a6c8-4ad2-b10c-28eacb96089e","Community Profile Nprint(3)","2488","[lib://AppDataProd/Geospatial/Native Title.qvd]","geospatial","",""
"c181957a-a6c8-4ad2-b10c-28eacb96089e","Community Profile Nprint(3)","2525","[lib://AppDataProd/Geospatial/Native Title Determination Application.qvd]","geospatial","",""
"c181957a-a6c8-4ad2-b10c-28eacb96089e","Community Profile Nprint(3)","2562","[lib://AppDataProd/Geospatial/NTDA Schedule.qvd]","geospatial","",""
